timestamp,consumption_kW,date,hour,weekday
2025-08-19 01:00:00,0.8993428306022466,2025-08-19,1,1
2025-08-19 02:00:00,0.77758548616358,2025-08-19,2,1
2025-08-19 03:00:00,0.9400140011257881,2025-08-19,3,1
2025-08-19 04:00:00,1.1203194133455545,2025-08-19,4,1
2025-08-19 05:00:00,0.7741187179293694,2025-08-19,5,1
2025-08-19 06:00:00,0.779356355438693,2025-08-19,6,1
2025-08-19 07:00:00,1.1472586680432428,2025-08-19,7,1
2025-08-19 08:00:00,2.4901330142107936,2025-08-19,8,1
2025-08-19 09:00:00,2.2479783613058832,2025-08-19,9,1
2025-08-19 10:00:00,2.455609225558864,2025-08-19,10,1
2025-08-19 11:00:00,2.2596340666693244,2025-08-19,11,1
2025-08-19 12:00:00,2.7643880550281135,2025-08-19,12,1
2025-08-19 13:00:00,2.9111384750687512,2025-08-19,13,1
2025-08-19 14:00:00,2.4852972040575056,2025-08-19,14,1
2025-08-19 15:00:00,2.0281717390217966,2025-08-19,15,1
2025-08-19 16:00:00,2.265894275989859,2025-08-19,16,1
2025-08-19 17:00:00,2.180976061764669,2025-08-19,17,1
2025-08-19 18:00:00,2.451575888380736,2025-08-19,18,1
2025-08-19 19:00:00,0.7122989796663636,2025-08-19,19,1
2025-08-19 20:00:00,0.6166132696489541,2025-08-19,20,1
2025-08-19 21:00:00,1.1973664269854938,2025-08-19,21,1
2025-08-19 22:00:00,0.8642361310077287,2025-08-19,22,1
2025-08-19 23:00:00,0.9280434116497058,2025-08-19,23,1
2025-08-20 00:00:00,0.6347257824998795,2025-08-20,0,2
2025-08-20 01:00:00,0.8159274016769641,2025-08-20,1,2
2025-08-20 02:00:00,0.9521074782533329,2025-08-20,2,2
2025-08-20 03:00:00,0.7048333552522681,2025-08-20,3,2
2025-08-20 04:00:00,1.0152704920881965,2025-08-20,4,2
2025-08-20 05:00:00,0.8250912867201119,2025-08-20,5,2
2025-08-20 06:00:00,0.8919573417922021,2025-08-20,6,2
2025-08-20 07:00:00,0.8350203801175792,2025-08-20,7,2
2025-08-20 08:00:00,2.830871107920151,2025-08-20,8,2
2025-08-20 09:00:00,2.462757566947351,2025-08-20,9,2
2025-08-20 10:00:00,2.258943755113407,2025-08-20,10,2
2025-08-20 11:00:00,2.640010857140684,2025-08-20,11,2
2025-08-20 12:00:00,2.736335701010402,2025-08-20,12,2
2025-08-20 13:00:00,3.027265947442201,2025-08-20,13,2
2025-08-20 14:00:00,2.5985338619857656,2025-08-20,14,2
2025-08-20 15:00:00,2.2297908169958225,2025-08-20,15,2
2025-08-20 16:00:00,2.539745517572578,2025-08-20,16,2
2025-08-20 17:00:00,2.6529965566821456,2025-08-20,17,2
2025-08-20 18:00:00,2.5444912180822428,2025-08-20,18,2
2025-08-20 19:00:00,0.9919862028133176,2025-08-20,19,2
2025-08-20 20:00:00,0.9597770205354097,2025-08-20,20,2
2025-08-20 21:00:00,0.7291584927375818,2025-08-20,21,2
2025-08-20 22:00:00,0.8857420402435592,2025-08-20,22,2
2025-08-20 23:00:00,0.942413609260237,2025-08-20,23,2
2025-08-21 00:00:00,1.250778412443215,2025-08-21,0,3
2025-08-21 01:00:00,1.1128719842399133,2025-08-21,1,3
2025-08-21 02:00:00,0.6963160443127088,2025-08-21,2,3
2025-08-21 03:00:00,1.1184976442267303,2025-08-21,3,3
2025-08-21 04:00:00,0.9814018325480298,2025-08-21,4,3
2025-08-21 05:00:00,0.9277516290660827,2025-08-21,5,3
2025-08-21 06:00:00,1.1901689699967934,2025-08-21,6,3
2025-08-21 07:00:00,1.2787108843562895,2025-08-21,7,3
2025-08-21 08:00:00,2.7634234993138778,2025-08-21,8,3
2025-08-21 09:00:00,2.4139593395459706,2025-08-21,9,3
2025-08-21 10:00:00,2.5245742574580845,2025-08-21,10,3
2025-08-21 11:00:00,2.6572614753938093,2025-08-21,11,3
2025-08-21 12:00:00,3.290687689042374,2025-08-21,12,3
2025-08-21 13:00:00,3.0042911602375937,2025-08-21,13,3
2025-08-21 14:00:00,3.067518679727849,2025-08-21,14,3
2025-08-21 15:00:00,2.3878847257036266,2025-08-21,15,3
2025-08-21 16:00:00,2.3743880762182967,2025-08-21,16,3
2025-08-21 17:00:00,2.780588339819587,2025-08-21,17,3
2025-08-21 18:00:00,2.893760709651525,2025-08-21,18,3
2025-08-21 19:00:00,1.1125156248698973,2025-08-21,19,3
2025-08-21 20:00:00,1.332004254900509,2025-08-21,20,3
2025-08-21 21:00:00,1.2079796534902987,2025-08-21,21,3
2025-08-21 22:00:00,1.0109576858008271,2025-08-21,22,3
2025-08-21 23:00:00,1.2165640311571082,2025-08-21,23,3
2025-08-22 00:00:00,1.4561692537601154,2025-08-22,0,4
2025-08-22 01:00:00,1.1456471941201325,2025-08-22,1,4
2025-08-22 02:00:00,1.4699647016548139,2025-08-22,2,4
2025-08-22 03:00:00,0.637283303359524,2025-08-22,3,4
2025-08-22 04:00:00,1.329781644008868,2025-08-22,4,4
2025-08-22 05:00:00,1.186951523242836,2025-08-22,5,4
2025-08-22 06:00:00,1.1138534378256149,2025-08-22,6,4
2025-08-22 07:00:00,1.1960913799159625,2025-08-22,7,4
2025-08-22 08:00:00,2.2842809654205203,2025-08-22,8,4
2025-08-22 09:00:00,2.6418867924167992,2025-08-22,9,4
2025-08-22 10:00:00,2.7612406969303125,2025-08-22,10,4
2025-08-22 11:00:00,2.989364290549964,2025-08-22,11,4
2025-08-22 12:00:00,3.094068720845551,2025-08-22,12,4
2025-08-22 13:00:00,3.0399310106280266,2025-08-22,13,4
2025-08-22 14:00:00,3.105154675197583,2025-08-22,14,4
2025-08-22 15:00:00,2.8924319506913863,2025-08-22,15,4
2025-08-22 16:00:00,2.778915989731314,2025-08-22,16,4
2025-08-22 17:00:00,2.6109964743679686,2025-08-22,17,4
2025-08-22 18:00:00,2.8233529674018696,2025-08-22,18,4
2025-08-22 19:00:00,1.2438338887272222,2025-08-22,19,4
2025-08-22 20:00:00,1.4218339239923026,2025-08-22,20,4
2025-08-22 21:00:00,1.091348222083103,2025-08-22,21,4
2025-08-22 22:00:00,1.1698474159390095,2025-08-22,22,4
2025-08-22 23:00:00,1.1605460324502546,2025-08-22,23,4
2025-08-23 00:00:00,0.6498190312071397,2025-08-23,0,5
2025-08-23 01:00:00,1.0052667030132054,2025-08-23,1,5
2025-08-23 02:00:00,1.0017403294550649,2025-08-23,2,5
2025-08-23 03:00:00,0.954004328652248,2025-08-23,3,5
2025-08-23 04:00:00,0.9094820446849079,2025-08-23,4,5
2025-08-23 05:00:00,0.6767083681950867,2025-08-23,5,5
2025-08-23 06:00:00,0.8790014506356751,2025-08-23,6,5
2025-08-23 07:00:00,0.8979003086060215,2025-08-23,7,5
2025-08-23 08:00:00,0.809264900420302,2025-08-23,8,5
2025-08-23 09:00:00,0.9407045501169778,2025-08-23,9,5
2025-08-23 10:00:00,1.0569771507617796,2025-08-23,10,5
2025-08-23 11:00:00,1.3565731510316281,2025-08-23,11,5
2025-08-23 12:00:00,1.5173839876339252,2025-08-23,12,5
2025-08-23 13:00:00,1.5370741816079803,2025-08-23,13,5
2025-08-23 14:00:00,1.4737335868575678,2025-08-23,14,5
2025-08-23 15:00:00,0.6078899485047468,2025-08-23,15,5
2025-08-23 16:00:00,0.9893253627287008,2025-08-23,16,5
2025-08-23 17:00:00,1.0096204233113624,2025-08-23,17,5
2025-08-23 18:00:00,1.4931311199997102,2025-08-23,18,5
2025-08-23 19:00:00,0.9648806717160555,2025-08-23,19,5
2025-08-23 20:00:00,1.0664941325218953,2025-08-23,20,5
2025-08-23 21:00:00,1.0020355258579803,2025-08-23,21,5
2025-08-23 22:00:00,0.7779966914686557,2025-08-23,22,5
2025-08-23 23:00:00,1.243012274584735,2025-08-23,23,5
2025-08-24 00:00:00,1.167510517423097,2025-08-24,0,6
2025-08-24 01:00:00,1.1779670820214387,2025-08-24,1,6
2025-08-24 02:00:00,0.8404803649168522,2025-08-24,2,6
2025-08-24 03:00:00,1.3054740648945766,2025-08-24,3,6
2025-08-24 04:00:00,0.747062325616731,2025-08-24,4,6
